0.00	0
1.61	0
1.79	3
1.86	4
2.21	0
2.28	0
2.54	0
2.78	1
2.92	0
2.99	1
3.13	0
3.47	2
3.59	1
3.82	0
3.96	1
4.10	2
4.18	1
4.42	0
4.56	3
4.77	4
4.91	0
5.40	0
5.89	0
5.99	3
6.06	1
6.27	0
6.76	1
6.88	0
7.30	0
7.80	0
8.21	4
8.28	3
8.49	0
9.02	0
9.10	3
9.31	0
9.78	4
10.23	0
10.82	2
10.94	2
11.15	3
11.29	0
11.43	0
11.64	0
11.92	4
12.20	0
12.27	0
12.41	2
12.55	0
12.62	0
12.77	0
13.14	3
13.21	2
13.35	1
13.47	0
13.92	0
13.97	3
14.09	1
14.30	0
14.65	0
14.88	0
15.35	4
15.70	3
15.91	1
16.13	4
16.23	2
16.37	0
16.51	0
16.72	0
17.45	0
17.89	4
18.25	2
18.33	0
18.43	1
18.71	2
18.79	0
18.91	0
19.12	3
19.26	1
19.33	0
19.54	0
19.75	0
19.88	1
20.02	0
20.16	0
20.30	1
20.37	3
20.58	0
21.11	4
21.44	1
21.50	0
21.55	1
21.83	0
22.18	3
22.32	0
22.39	0
23.02	0
23.38	0
23.61	0
23.74	0
23.79	1
23.84	0
23.98	3
24.12	0
24.26	3
24.47	0
24.61	1
24.68	0
24.75	0
24.82	2
24.90	3
25.07	0
25.14	1
25.49	2
25.66	0
25.96	4
26.16	2
26.35	0
26.89	4
27.19	1
27.33	0
28.10	4
28.24	1
28.59	0
29.15	4
29.33	0
29.40	4
29.54	2
29.61	1
29.89	0
30.26	4
30.34	2
30.41	0
30.48	0
30.62	3
30.90	4
30.97	0
31.11	1
31.46	0
31.65	1
31.72	0
32.27	0
32.50	0
33.06	0
33.40	0
33.66	1
33.73	0
33.80	2
33.90	0
34.62	0
34.71	3
34.78	0
34.99	4
35.13	1
35.41	0
35.99	3
36.20	4
36.27	1
36.34	0
36.62	0
37.25	4
37.33	0
37.79	1
37.86	0
37.99	4
38.13	2
38.21	3
38.47	0
39.37	0
39.44	3
39.57	4
39.64	2
39.78	1
40.07	0
40.23	1
40.51	0
41.33	1
41.55	0
41.76	2
41.84	1
41.90	0
42.37	0
42.75	1
42.93	0
43.20	4
43.41	1
43.55	3
43.76	0
44.25	3
44.40	0
44.54	3
44.61	0
45.10	1
45.31	0
45.64	2
45.72	1
45.88	3
46.02	2
46.22	0
46.29	1
46.36	0
46.43	2
46.51	3
46.89	0
47.18	4
47.40	0
47.54	0
47.68	1
47.82	0
47.96	1
48.17	0
48.24	1
48.52	0
48.73	4
48.80	1
48.94	0
49.01	0
49.15	1
49.29	3
49.50	0
50.03	0
50.21	0
50.28	1
50.35	0
51.45	0
51.51	3
51.64	4
51.71	0
52.13	0
52.43	0
52.54	0
53.26	0
